Year,1 - State Name,8 - Structure Number,2024 NBI Structure Number,22 - Owner Agency,3 - County Name,City - InfoBridge Place Code,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),58 - Deck Condition Rating,59 - Superstructure Condition Rating,60 - Substructure Condition Rating,113 - Scour Critical Bridge Value,Average Relative Humidity,Average Temperature,Maximum Temperature,Mean Wind Speed,Minimum Temperature,Number of Freeze-Thaw Cycles,Number of Snowfall Days,Number of Days with Measurable Precipitation,Number of Days with Temperature Below 0?C,Prevailing Wind Direction,Time of Wetness,Total Precipitation,Computed - Average Daily Truck Traffic (Volume),64 - Operating Rating (US tons),66 - Inventory Rating (US tons)
2000,Maryland,100000070042010,100000070042010,State Highway Agency,Cecil County,,1973,6575,Steel,Stringer/Multi-beam or Girder,2,90.9,MD 273            ,Fair,27,6,6,6,Foundations stable; Scour above top of footing,77,11.7,32.6,3,-16.6,76,27,114,100,152.4,3676,1293.33,526,35.7,35.7
2000,Delaware,      1806 060 ,      1806 060 ,State Highway Agency,New Castle County,,1975,17498,Steel Continuous,Stringer/Multi-beam or Girder,2,222.1,I 495 SB          ,Fair,25,7,5,5,Bridge not over waterway,77,11.7,32.6,3,-16.6,76,27,114,100,152.4,3676,1293.33,875,64,38
2000,Florida,         790174,         790174,State Highway Agency,Volusia County,,1997,11500,Prestressed Concrete Continuous,Segmental Box Girder,10,2319.9,SR 430            ,Good,3,7,7,8,"Not Evaluated; Over """"Tidal"""" waters",71,21.9,38.8,2,-4.5,5,0,96,5,187.03,3526,819.08,230,0,0
2000,California,      24 0287L ,      24 0287L ,State Highway Agency,Sacramento County,,1975,20800,Prestressed Concrete Continuous,Box Beam or Girders - Multiple,2,258.9,INTERSTATE 5 SB   ,Good,25,7,8,7,Bridge not over waterway,60,16.3,44.2,2,-0.1,1,0,68,1,135.98,2368,875.96,3744,110.1,35.9
2000,Delaware,      1281 366 ,      1281 366 ,State Highway Agency,New Castle County,,1980,23721,Steel Continuous,Stringer/Multi-beam or Girder,2,274.9,SR 4 & SR 896     ,Good,20,7,7,7,Foundations stable; Scour above top of footing,77,11.7,32.6,3,-16.6,76,27,114,100,152.4,3676,1293.33,1660,99,57
2000,Delaware,      1305N082 ,      1305N082 ,State Highway Agency,New Castle County,,1994,16135,Prestressed Concrete,Stringer/Multi-beam or Girder,1,75.1,DUPONT HWY        ,Good,6,7,8,9,Foundations stable; Scour above top of footing,77,11.7,32.6,3,-16.6,76,27,114,100,152.4,3676,1293.33,807,99,72
2000,Delaware,      2920N150 ,      2920N150 ,State Highway Agency,Kent County,,1992,12324,Steel,Stringer/Multi-beam or Girder,1,71.9,SR 1              ,Good,8,7,8,7,Bridge not over waterway,78,12.2,32.3,3,-15.1,75,22,109,93,151.23,3813,1280.96,1109,75,55
2000,Mississippi,11000100240460B,11000100240460B,State Highway Agency,Harrison County,,1970,13465,Prestressed Concrete,Stringer/Multi-beam or Girder,1,422.9,I 10              ,Good,30,7,7,8,Bridge not over waterway,71,21.1,38.3,3,-3.4,7,0,100,7,181.38,3064,1000.51,673,68.7,65.7
2000,New York,000000001016310,000000001016310,State Highway Agency,Steuben County,,1990,6476,Prestressed Concrete,Box Beam or Girders - Multiple,2,176.8,MAIN ST           ,Good,10,7,7,8,Foundations stable; Scour above top of footing,78,7.3,32.1,0,-20.6,91,106,141,154,142.13,3175,1126.11,453,84,49.9
2000,Mississippi,310004306412140,310004306412140,State Highway Agency,Simpson County,,1963,2200,Steel,Stringer/Multi-beam or Girder,3,182.1,SR 43             ,Good,37,7,7,7,Evaluation not yet made,70,18.7,41.7,0,-6.7,43,8,92,44,152.35,3488,989.04,176,54.5,32.6
2000,Mississippi,11002200250005B,11002200250005B,State Highway Agency,Hinds County,,1977,25000,Steel Continuous,Stringer/Multi-beam or Girder,3,315,I 220             ,Good,23,8,8,8,Bridge not over waterway,69,18.5,41.9,1,-7.3,47,12,91,48,175.58,3154,950.49,3250,58.5,34.7
2000,New Jersey,        1328154,        1328154,State Highway Agency,Monmouth County,,1968,15060,Prestressed Concrete,Stringer/Multi-beam or Girder,2,169.9,NJ ROUTE 18 NB    ,Fair,32,6,6,7,Bridge not over waterway,,,,,,73,20,,,,,,753,81.4,37.7
2000,Mississippi,11000100240435B,11000100240435B,State Highway Agency,Harrison County,,1970,11850,Prestressed Concrete,Stringer/Multi-beam or Girder,1,217.8,I 10              ,Good,30,7,7,8,Bridge not over waterway,71,21.1,38.3,3,-3.4,7,0,100,7,181.38,3064,1000.51,593,66.9,61.5
2000,Mississippi,11002200250051B,11002200250051B,State Highway Agency,Hinds County,,1976,13500,Steel Continuous,Stringer/Multi-beam or Girder,2,267.1,I 220             ,Good,24,8,8,8,Bridge not over waterway,69,18.5,41.9,1,-7.3,47,12,91,48,175.58,3154,950.49,1755,69.4,41.7
2000,Mississippi,11002200250005A,11002200250005A,State Highway Agency,Hinds County,,1970,25000,Steel Continuous,Stringer/Multi-beam or Girder,3,321.9,I 220             ,Good,30,8,8,8,Bridge not over waterway,69,18.5,41.9,1,-7.3,47,12,91,48,175.58,3154,950.49,3250,59.5,35.7
2000,New Jersey,        1330151,        1330151,State Highway Agency,Monmouth County,,1969,16230,Steel,Stringer/Multi-beam or Girder,1,88.9,RT I-195 EB       ,Good,31,7,7,7,Bridge not over waterway,78,11.3,31.3,3,-14.6,73,20,116,96,150.82,3721,1170.82,2272,87.3,51.6
2000,New Jersey,        1328153,        1328153,State Highway Agency,Monmouth County,,1968,6600,Prestressed Concrete,Stringer/Multi-beam or Girder,2,202.1,WEST BANGS AVENUE ,Fair,32,6,7,7,Bridge not over waterway,,,,,,73,20,,,,,,66,94.2,20.8
2000,New Jersey,        0832162,        0832162,State Highway Agency,Gloucester County,,1983,17896,Steel Continuous,Stringer/Multi-beam or Girder,3,371.1,NJ ROUTE 47       ,Good,17,7,7,7,Bridge not over waterway,77,11,33,2,-17.9,84,35,117,111,150.91,3633,1197.7,716,79.4,47.6
2000,New Jersey,        0828156,        0828156,State Highway Agency,Gloucester County,,1987,9500,Steel,Stringer/Multi-beam or Girder,1,107,N.J. ROUTE 55 NB  ,Good,13,8,8,8,Bridge not over waterway,77,11.6,32,3,-17.4,78,21,118,101,151.54,3558,1289.54,665,92.3,54.6
2000,Minnesota,5718           ,5718,State Highway Agency,Pine County,,1948,1850,Steel Continuous,Truss - Deck,3,402.9,MNTH 123          ,Fair,52,6,5,7,Foundations Stable; Protection Required,70,5.9,32.2,3,-29.9,75,103,106,170,167.49,1573,752.12,74,53.6,35.7
